category,Harga Rata-Rata
Jambi,31935
Sumatera Barat,32095
Nusa Tenggara Timur,33637
Aceh,34306
Sumatera Utara,34738
Nusa Tenggara Barat,34973
Riau,35327
Lampung,35997
Bali,36470
Sulawesi Selatan,36573
D.I Yogyakarta,37490
Kepulauan Riau,37641
Kalimantan Selatan,37994
Jawa Timur,38509
Sumatera Selatan,38531
Bengkulu,38707
Jawa Tengah,39770
Sulawesi Barat,39802
Gorontalo,41333
Jawa Barat,41434
Sulawesi Tenggara,41882
Sulawesi Tengah,41886
Banten,41977
Kalimantan Timur,43028
Kalimantan Tengah,43134
Sulawesi Utara,44024
Kepulauan Bangka Belitung,44160
Maluku,45479
DKI Jakarta,45551
Kalimantan Barat,46625
Kalimantan Utara,47145
Papua Barat,51096
Maluku Utara,51781
Papua Barat Daya,52560
Papua,56943
Papua Selatan,61844
Papua Tengah,70237
