category,Harga Rata-Rata
D.I Yogyakarta,30151
Jawa Timur,30297
Bali,31848
Lampung,32026
Jawa Tengah,32450
Jambi,33149
Kepulauan Riau,33436
Sumatera Barat,33639
Sumatera Selatan,33810
Jawa Barat,34422
Kalimantan Selatan,34657
Riau,35299
Nusa Tenggara Barat,35338
Sumatera Utara,35378
Bengkulu,35507
Banten,36191
Sulawesi Selatan,36454
Aceh,36616
Kepulauan Bangka Belitung,36743
Kalimantan Barat,37178
Sulawesi Barat,38545
Kalimantan Tengah,38930
Nusa Tenggara Timur,39147
Kalimantan Timur,39661
Sulawesi Utara,40669
Kalimantan Utara,40891
Sulawesi Tengah,40912
Gorontalo,40966
DKI Jakarta,41079
Sulawesi Tenggara,41746
Maluku,43501
Papua Barat,50947
Papua Barat Daya,51236
Maluku Utara,51853
Papua,52113
Papua Selatan,59167
Papua Tengah,63306
