category,Harga Rata-Rata
Kepulauan Riau,12801
Kalimantan Selatan,12998
Jambi,13035
Sumatera Barat,13102
Kepulauan Bangka Belitung,13206
Sulawesi Selatan,12742
Sumatera Selatan,12839
DKI Jakarta,12848
Banten,12857
Jawa Timur,12888
Jawa Tengah,12888
Nusa Tenggara Barat,12954
D.I Yogyakarta,12988
Papua Barat Daya,14915
Bengkulu,13503
Maluku,14952
Jawa Barat,13047
Lampung,13086
Riau,13604
Aceh,13695
Nusa Tenggara Timur,13752
Sulawesi Tenggara,13397
Sumatera Utara,13923
Papua Selatan,15415
Kalimantan Tengah,13931
Sulawesi Barat,13462
Sulawesi Tengah,13506
Sulawesi Utara,13517
Papua,15592
Kalimantan Barat,14212
Maluku Utara,15756
Kalimantan Timur,14382
Kalimantan Utara,14468
Bali,14002
Gorontalo,14241
Papua Barat,16835
Papua Tengah,19861
