category,Harga Rata-Rata
Kepulauan Riau,14926
D.I Yogyakarta,14531
Sulawesi Selatan,14556
Jambi,15057
Aceh,15082
Jawa Barat,14595
Jawa Tengah,14651
Lampung,14691
Banten,14695
Sumatera Selatan,14706
DKI Jakarta,14708
Nusa Tenggara Barat,14741
Sulawesi Tenggara,14824
Jawa Timur,14852
Sulawesi Barat,14964
Bengkulu,15496
Riau,15531
Kepulauan Bangka Belitung,15541
Sumatera Utara,15580
Sumatera Barat,15811
Nusa Tenggara Timur,15814
Sulawesi Tengah,15507
Bali,15557
Sulawesi Utara,15580
Papua Selatan,16774
Kalimantan Selatan,16408
Kalimantan Timur,16434
Gorontalo,16067
Kalimantan Tengah,16902
Papua Barat Daya,17351
Maluku Utara,17740
Kalimantan Barat,17356
Kalimantan Utara,17372
Maluku,17962
Papua Barat,18123
Papua,18156
Papua Tengah,22225
