category,Harga Rata-Rata
Gorontalo,33583
Sulawesi Utara,33785
Sulawesi Selatan,36074
Sulawesi Tengah,36192
Sulawesi Barat,38331
Sulawesi Tenggara,43020
Maluku Utara,43353
Bali,44396
Kalimantan Timur,45450
Nusa Tenggara Timur,45766
Maluku,46836
Kalimantan Selatan,47223
D.I Yogyakarta,47926
Jawa Timur,48371
Kalimantan Barat,49474
Jawa Tengah,49561
Nusa Tenggara Barat,52627
Kalimantan Tengah,55378
Sumatera Utara,55771
Lampung,56380
Papua Barat,59572
Papua Barat Daya,59631
Jawa Barat,59658
Sumatera Selatan,60573
Banten,60712
Aceh,60842
Jambi,61860
Kalimantan Utara,62150
Bengkulu,62524
Papua,63854
DKI Jakarta,65449
Kepulauan Bangka Belitung,69929
Sumatera Barat,71875
Papua Tengah,77375
Riau,78614
Kepulauan Riau,80375
Papua Selatan,99370
