category,Harga Rata-Rata
Sulawesi Selatan,23281
Nusa Tenggara Barat,26219
Jawa Timur,29418
Sulawesi Barat,30612
Gorontalo,31013
Bali,32463
D.I Yogyakarta,33618
Sulawesi Utara,33623
Lampung,34274
Jawa Tengah,34277
Sulawesi Tengah,34321
Sumatera Utara,38155
Nusa Tenggara Timur,38707
Kalimantan Timur,38869
Sumatera Selatan,38896
Kalimantan Selatan,39370
Aceh,40320
Jawa Barat,40547
Bengkulu,41823
Banten,42444
Jambi,43667
DKI Jakarta,44581
Sumatera Barat,44595
Sulawesi Tenggara,45120
Kalimantan Barat,47206
Kalimantan Tengah,47647
Riau,52620
Kepulauan Bangka Belitung,54096
Maluku Utara,57688
Kepulauan Riau,61098
Kalimantan Utara,65561
Papua Barat,71367
Maluku,73964
Papua,74487
Papua Barat Daya,74772
Papua Selatan,109846
Papua Tengah,111524
