category,Harga Rata-Rata
Sulawesi Selatan,29931
Aceh,32778
Gorontalo,32917
Sulawesi Tenggara,33205
Kalimantan Selatan,33243
Sulawesi Barat,33257
Jawa Timur,35259
D.I Yogyakarta,35401
Lampung,35512
Riau,36089
Sumatera Selatan,36273
Sumatera Utara,36286
Sulawesi Tengah,36449
Banten,36616
Jawa Tengah,36877
Sumatera Barat,36888
Jawa Barat,37567
Sulawesi Utara,37756
Kalimantan Timur,37988
Jambi,38195
Kalimantan Tengah,39082
DKI Jakarta,39186
Kepulauan Bangka Belitung,39478
Bengkulu,39504
Bali,39788
Kepulauan Riau,40327
Nusa Tenggara Barat,41549
Papua,41925
Kalimantan Barat,42482
Nusa Tenggara Timur,43868
Papua Barat Daya,44056
Maluku,45647
Maluku Utara,46737
Papua Barat,46744
Kalimantan Utara,47516
Papua Selatan,48465
Papua Tengah,53301
