category,Harga Rata-Rata
Bali,114388
Nusa Tenggara Timur,115499
Jawa Timur,119886
Papua Barat,120441
Maluku,122997
Nusa Tenggara Barat,124409
Sulawesi Selatan,125147
Sumatera Utara,128336
Sulawesi Barat,129774
Jawa Tengah,130230
DKI Jakarta,130506
Jambi,131364
Lampung,131745
Jawa Barat,132017
Sulawesi Utara,132821
Banten,134634
Bengkulu,134831
Gorontalo,135207
Papua Selatan,135385
Sumatera Selatan,135473
Maluku Utara,135909
Sulawesi Tengah,136258
D.I Yogyakarta,136326
Sulawesi Tenggara,136789
Kepulauan Bangka Belitung,139956
Riau,143218
Sumatera Barat,143263
Papua,147174
Aceh,152342
Papua Barat Daya,153415
Kalimantan Tengah,154757
Kalimantan Selatan,155358
Kalimantan Barat,155779
Kalimantan Timur,156473
Kepulauan Riau,160028
Papua Tengah,162552
Kalimantan Utara,164324
