category,Harga Rata-Rata
Kepulauan Riau,15006
Jawa Timur,16404
Jawa Tengah,16703
D.I Yogyakarta,17083
Bali,17350
Sumatera Selatan,17517
Jambi,17546
Riau,17635
Kalimantan Selatan,17676
Lampung,17738
Kalimantan Barat,17807
Kepulauan Bangka Belitung,17826
Jawa Barat,17836
Nusa Tenggara Barat,17869
Sumatera Utara,17940
Banten,17945
Kalimantan Utara,17963
Kalimantan Tengah,17965
Aceh,18120
Sumatera Barat,18134
DKI Jakarta,18185
Sulawesi Selatan,18191
Bengkulu,18256
Sulawesi Barat,18279
Papua Barat Daya,19515
Kalimantan Timur,18506
Maluku,19639
Maluku Utara,19769
Gorontalo,18712
Sulawesi Tengah,18718
Sulawesi Utara,18807
Papua Barat,19928
Sulawesi Tenggara,18929
Nusa Tenggara Timur,18980
Papua,20214
Papua Selatan,21351
Papua Tengah,23341
