category,Harga Rata-Rata
Aceh,52405
Sulawesi Tenggara,38262
Kalimantan Selatan,42207
Kalimantan Timur,44292
Kalimantan Utara,42836
Sulawesi Utara,32441
Sulawesi Tengah,38285
Sulawesi Selatan,44584
Gorontalo,35107
Kalimantan Barat,49618
Sulawesi Barat,39023
Maluku,28849
Maluku Utara,38278
Papua Barat,51409
Papua,60714
Papua Barat Daya,34558
Papua Tengah,50685
Kalimantan Tengah,48664
Nusa Tenggara Timur,42788
Sumatera Utara,47948
Kepulauan Bangka Belitung,47010
Sumatera Barat,56571
Riau,43611
Jambi,40493
Sumatera Selatan,38489
Bengkulu,61199
Lampung,33468
Kepulauan Riau,38786
Nusa Tenggara Barat,46872
DKI Jakarta,42266
Jawa Barat,43485
Jawa Tengah,34247
D.I Yogyakarta,41777
Jawa Timur,35674
Banten,41834
Bali,40429
Papua Selatan,44188
