category,Harga Rata-Rata
Aceh,35511
Sulawesi Tenggara,33024
Kalimantan Selatan,33896
Kalimantan Timur,34401
Kalimantan Utara,35144
Sulawesi Utara,31258
Sulawesi Tengah,30601
Sulawesi Selatan,35052
Gorontalo,33335
Kalimantan Barat,44900
Sulawesi Barat,29340
Maluku,27163
Maluku Utara,28442
Papua Barat,49375
Papua,50831
Papua Barat Daya,34602
Papua Tengah,55554
Kalimantan Tengah,40701
Nusa Tenggara Timur,38655
Sumatera Utara,37858
Kepulauan Bangka Belitung,31934
Sumatera Barat,42394
Riau,36851
Jambi,32629
Sumatera Selatan,29090
Bengkulu,30267
Lampung,30470
Kepulauan Riau,32759
Nusa Tenggara Barat,27296
DKI Jakarta,44420
Jawa Barat,37088
Jawa Tengah,32098
D.I Yogyakarta,35435
Jawa Timur,31730
Banten,35525
Bali,32786
Papua Selatan,43133
