category,Harga Rata-Rata
Bengkulu,14989
Jambi,15470
Sumatera Selatan,15884
Sumatera Barat,15979
Aceh,16073
Maluku,16266
Sulawesi Tengah,16300
Kalimantan Tengah,16508
Kalimantan Selatan,16712
Banten,16727
D.I Yogyakarta,16788
Sulawesi Tenggara,17211
Sulawesi Selatan,17245
Maluku Utara,17424
Sulawesi Barat,17477
Kalimantan Timur,17538
Kalimantan Barat,17777
Jawa Tengah,17779
Jawa Timur,17793
Papua,17814
Lampung,18072
Papua Selatan,18222
Jawa Barat,18319
Papua Barat,18381
Sumatera Utara,18397
Riau,18427
Papua Barat Daya,18469
Nusa Tenggara Barat,18543
Sulawesi Utara,18709
Gorontalo,18719
DKI Jakarta,18815
Bali,19353
Kepulauan Riau,19677
Nusa Tenggara Timur,19974
