category,Harga Rata-Rata
Aceh,21957
Sulawesi Tenggara,22041
Kalimantan Selatan,20084
Kalimantan Timur,21975
Kalimantan Utara,21885
Sulawesi Utara,21699
Sulawesi Tengah,22014
Sulawesi Selatan,20582
Gorontalo,21363
Kalimantan Barat,21252
Sulawesi Barat,21659
Maluku,22820
Maluku Utara,23918
Papua Barat,31968
Papua,22780
Papua Barat Daya,24023
Papua Tengah,29312
Kalimantan Tengah,21098
Nusa Tenggara Timur,22216
Sumatera Utara,21205
Kepulauan Bangka Belitung,19755
Sumatera Barat,19727
Riau,19558
Jambi,18708
Sumatera Selatan,19704
Bengkulu,20098
Lampung,19411
Kepulauan Riau,19365
Nusa Tenggara Barat,21816
DKI Jakarta,20736
Jawa Barat,19738
Jawa Tengah,19586
D.I Yogyakarta,19923
Jawa Timur,19836
Banten,19699
Bali,19527
Papua Selatan,23529
