category,Harga Rata-Rata
Bali,27469
Sulawesi Selatan,27552
Jawa Timur,28125
Jawa Tengah,28320
D.I Yogyakarta,28383
Jambi,28423
Sumatera Selatan,28485
Riau,28534
Bengkulu,28588
Aceh,29030
Lampung,29149
Sumatera Utara,29173
Banten,29298
Sulawesi Barat,29366
DKI Jakarta,29381
Sumatera Barat,29521
Jawa Barat,29538
Sulawesi Tenggara,29881
Sulawesi Tengah,30064
Kepulauan Riau,30789
Kepulauan Bangka Belitung,31211
Nusa Tenggara Barat,31349
Kalimantan Selatan,31558
Sulawesi Utara,31906
Kalimantan Timur,32480
Kalimantan Tengah,32527
Nusa Tenggara Timur,32863
Gorontalo,33090
Kalimantan Barat,34163
Kalimantan Utara,34968
Maluku Utara,35398
Maluku,36665
Papua Barat,36976
Papua,37135
Papua Barat Daya,39034
Papua Tengah,45137
Papua Selatan,48734
