category,Harga Rata-Rata
Aceh,10211
Sulawesi Tenggara,9434
Kalimantan Selatan,9128
Kalimantan Timur,9521
Kalimantan Utara,10000
Sulawesi Utara,10616
Sulawesi Tengah,10014
Sulawesi Selatan,9158
Gorontalo,9899
Kalimantan Barat,10729
Sulawesi Barat,9445
Maluku,12047
Maluku Utara,12228
Papua Barat,14306
Papua,11870
Papua Barat Daya,11928
Papua Tengah,17425
Kalimantan Tengah,9907
Nusa Tenggara Timur,9980
Sumatera Utara,9930
Kepulauan Bangka Belitung,10163
Sumatera Barat,9051
Riau,10162
Jambi,9461
Sumatera Selatan,8597
Bengkulu,10421
Lampung,9862
Kepulauan Riau,9644
Nusa Tenggara Barat,9069
DKI Jakarta,9517
Jawa Barat,9493
Jawa Tengah,8688
D.I Yogyakarta,8824
Jawa Timur,8900
Banten,9451
Bali,9252
Papua Selatan,12329
